name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;228;0;274;3069;1014;3069;1014;0
header;175;114;175;149;1802;149;1802;114
A;980;177;980;204;1002;204;1002;177
D;378;825;378;852;419;852;419;825
B;973;857;973;886;997;886;997;857
B;876;1031;876;1050;890;1050;890;1031
B;945;1123;945;1142;960;1142;960;1123
B;946;1217;946;1234;960;1234;960;1217
A;933;1239;933;1239;934;1239;934;1239
A;975;1442;975;1443;976;1443;976;1442
C;976;1530;976;1560;998;1560;998;1530
A;327;1972;327;1980;335;1980;335;1972
A;416;2117;416;2120;420;2120;420;2117
D;979;2202;979;2230;1001;2230;1001;2202
B;635;2655;635;2672;648;2672;648;2655
A;825;2718;825;2721;827;2721;827;2718
A;470;2747;470;2751;474;2751;474;2747
