name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;423;0;769;3069;1094;3069;1094;0
header;254;137;254;186;1880;186;1880;137
A;1056;210;1056;236;1077;236;1077;210
A;869;750;869;752;871;752;871;750
B;1061;880;1061;907;1081;907;1081;880
A;857;943;857;945;858;945;858;943
C;1050;1552;1050;1579;1071;1579;1071;1552
A;1083;1848;1083;1852;1088;1852;1088;1848
A;1013;1921;1013;1923;1015;1923;1015;1921
B;918;2493;918;2536;948;2536;948;2493
B;1003;2494;1003;2535;1032;2535;1032;2494
B;1042;2494;1042;2536;1072;2536;1072;2494
A;979;2592;979;2648;1021;2648;1021;2592
B;1038;2592;1038;2647;1076;2647;1076;2592
C;766;2593;766;2649;811;2649;811;2593
A;715;2594;715;2649;755;2649;755;2594
A;886;2594;886;2648;929;2648;929;2594
